tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vy,my_vz,my_hurt,my_health,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,tgt_health,out_w,out_a,out_s,out_d,out_sprint,out_jump,out_left_click,out_right_click
220821,491132.5161852349,82.0,4119.028405642464,248.884,-7.197,1,0.1819,0.0,0.1039,0,17.3,491135.66550925927,82.84722222222223,4117.914351851851,3.446,0.1204,-0.0197,2,15.0,1,0,0,1,1,0,1,0
220822,491132.73440356,82.0,4119.137636284978,244.463,-6.58,1,0.2182,0.0,0.1092,0,17.3,491135.78587962966,82.82986111111111,4117.894675925925,3.398,0.1204,-0.0197,1,15.0,1,0,0,1,1,0,0,0
220823,491132.92849284934,82.0,4119.216652181931,242.406,-2.365,1,0.1941,0.0,0.079,0,17.3,491135.85725308646,82.6574074074074,4117.88811728395,3.283,0.0714,-0.0066,10,13.5,1,0,0,1,1,0,1,0
220824,491133.0427556819,82.0,4119.233345014986,242.612,1.542,1,0.1143,0.0,0.0167,0,17.3,491136.07150205766,82.55285493827161,4117.831661522633,3.383,0.2142,-0.0565,9,13.5,1,1,0,0,0,0,0,1
220825,491133.11351437285,82.0,4119.216035010419,248.575,4.626,1,0.0708,0.0,-0.0173,0,17.3,491136.2857510288,82.4483024691358,4117.775205761316,3.513,0.2142,-0.0565,8,13.5,1,1,0,0,0,0,1,1
220826,491133.20409975905,82.0,4119.087415495074,254.949,5.141,1,0.0906,0.0,-0.1286,0,17.3,491136.5,82.34375,4117.71875,3.585,0.2142,-0.0565,7,13.5,1,1,0,0,0,0,0,0
220827,491133.3183289666,82.0,4118.904473242188,258.651,4.626,1,0.1142,0.0,-0.1829,0,17.3,491136.6354166667,82.5,4117.677083333333,3.572,0.1354,-0.0417,6,13.5,1,1,0,0,1,0,1,0
220828,491133.43599978375,82.0,4118.7212697563655,264.511,1.953,1,0.1177,0.0,-0.1832,0,17.3,491136.7708333334,82.65625,4117.635416666666,3.568,0.1354,-0.0417,5,13.5,1,1,0,0,1,0,0,0
220829,491133.58287322294,82.0,4118.520875926627,265.436,1.337,1,0.1469,0.0,-0.2004,0,17.3,491136.92013888893,82.76041666666667,4117.590277777777,3.547,0.1493,-0.0451,4,13.5,1,1,0,0,1,0,1,0
220830,491133.7473729811,82.0,4118.312504595974,265.333,-0.514,1,0.1645,0.0,-0.2084,0,17.3,491137.0694444445,82.86458333333334,4117.545138888889,3.517,0.1493,-0.0451,3,13.5,1,1,0,0,1,0,0,0
220831,491133.92119271937,82.0,4118.099519364346,265.025,-0.822,1,0.1738,0.0,-0.213,0,17.3,491137.17129629635,82.84722222222223,4117.509259259259,3.41,0.1019,-0.0359,2,13.5,1,1,0,0,1,0,0,0
220832,491134.09964370175,82.0,4117.883629419651,265.333,-1.748,1,0.1785,0.0,-0.2159,0,17.3,491137.2731481482,82.82986111111111,4117.47337962963,3.306,0.1019,-0.0359,1,13.5,1,1,0,0,1,0,0,0
