update,lifetime,rounds,timeouts,winrate,wr_old,wr_new,wr_script,wr_pin,dealt,taken,hits,mean_combo,max_combo,blk,clk,jmp,whiff,aim_bias,avg_reward,ploss,vloss,staleness,wr_turtle,wr_rusher,wr_kiter,wr_boxer,ent_move,ent_click,ent_block,ent_jump,aim_std,res_yaw,res_pitch,move_top,move_top_frac,wr_trader,mean_combo_taken,max_combo_taken,first_blood,trade_frac,blk_eff,idle_frac,ties,wr_gear_up,wr_gear_dn
174,1209,23,0,0.8260869565217391,0.7142857142857143,0.6,1.0,0.5714285714285714,420.0717919091165,297.87839212,161,2.1366459627329193,9,0.19970703125,0.92236328125,0.0224609375,0.14990138067061143,0.20472683465005576,15.653888414696548,-0.04773358628153801,5.670541763305664,1.0029296875,1.0,1.0,1.0,1.0,0.4867551326751709,0.19693182408809662,0.3440956771373749,0.0,0.36688488721847534,-0.4569946825504303,1.4103103876113892,0,0.646484375,nan,1.2692307692307692,3,0.6521739130434783,0.5031055900621118,0.019230769230769232,0.01220703125,2,1.0,0.6666666666666666
175,1210,25,0,0.76,0.5,0.5,1.0,1.0,434.18959797,293.411396,160,1.81875,7,0.17138671875,0.94287109375,0.01904296875,0.11151079136690648,0.4150713039955006,11.946574765430022,0.054244983941316605,6.789956092834473,1.0029296875,1.0,1.0,1.0,nan,0.44727712869644165,0.1634579598903656,0.33410871028900146,0.0,0.36700016260147095,-0.4898642599582672,1.454325556755066,0,0.70751953125,1.0,1.196078431372549,3,0.68,0.525,0.0196078431372549,0.00732421875,1,0.8571428571428571,0.5
176,1211,21,0,0.5238095238095238,0.0,0.0,0.9166666666666666,0.42857142857142855,366.6079898200002,275.9931925694886,141,1.9787234042553192,7,0.228515625,0.91943359375,0.021484375,0.1744186046511628,-0.07474513111387894,6.187679426991603,0.048919737339019775,7.035907745361328,1.0029296875,1.0,1.0,1.0,1.0,0.5644732117652893,0.18442529439926147,0.3449685573577881,0.0,0.3672928214073181,-0.4455171525478363,1.416989803314209,0,0.68017578125,0.75,1.3617021276595744,4,0.5238095238095238,0.49645390070921985,0.0425531914893617,0.01220703125,1,1.0,0.0
177,1212,21,0,0.5714285714285714,0.75,0.0,0.75,0.2,368.79159036000027,257.5769893000001,150,2.0,6,0.20263671875,0.93212890625,0.0263671875,0.10351201478743069,0.34333749700880695,9.505948740889574,0.01457245834171772,6.969870090484619,1.00341796875,0.5,nan,0.75,1.0,0.5822921991348267,0.20827578008174896,0.3636987805366516,0.0,0.36741095781326294,-0.47791793942451477,1.366522192955017,0,0.71240234375,1.0,1.1829268292682926,2,0.6666666666666666,0.4066666666666667,0.036585365853658534,0.0087890625,1,1.0,0.25
178,1213,25,0,0.76,0.5714285714285714,0.4,1.0,0.8333333333333334,444.8479886560001,317.04199114,167,1.7904191616766467,8,0.20166015625,0.9423828125,0.021484375,0.1263318112633181,0.48935689402593957,12.304238070099752,-0.019944358617067337,8.8295316696167,1.0029296875,1.0,1.0,1.0,1.0,0.42641475796699524,0.1882142424583435,0.36009737849235535,0.0,0.36743560433387756,-0.5200441479682922,1.486587405204773,0,0.74951171875,1.0,1.2522522522522523,4,0.6666666666666666,0.5508982035928144,0.04504504504504504,0.0068359375,1,0.75,0.75
179,1214,21,0,0.7142857142857143,0.5,0.5714285714285714,1.0,0.75,378.56359066000005,283.3235933700001,138,1.6304347826086956,5,0.22265625,0.90087890625,0.02099609375,0.1655011655011655,0.3727315216299744,9.637416901932298,0.07106532156467438,9.23075008392334,1.00244140625,nan,1.0,1.0,1.0,0.5586148500442505,0.20252737402915955,0.355229914188385,0.0,0.3671308755874634,-0.5063070058822632,1.4713127613067627,0,0.69677734375,1.0,1.5257731958762886,7,0.6818181818181818,0.5507246376811594,0.05154639175257732,0.0126953125,2,1.0,0.3333333333333333
180,1215,20,0,0.7,0.6666666666666666,0.16666666666666666,1.0,0.4,357.41339801,252.60199525000002,151,2.1589403973509933,10,0.255859375,0.90771484375,0.02392578125,0.11324376199616124,-0.05152584998820872,11.272829758277942,0.058542750775814056,5.137240409851074,1.0029296875,1.0,1.0,nan,1.0,0.5375474691390991,0.21227890253067017,0.3880881667137146,0.0,0.3673636317253113,-0.4134141206741333,1.353090524673462,0,0.646484375,1.0,1.380952380952381,5,0.8,0.45695364238410596,0.011904761904761904,0.00830078125,0,0.6,0.6666666666666666
181,1216,25,0,0.6,0.42857142857142855,0.16666666666666666,0.9090909090909091,0.6666666666666666,432.1611873281,340.68659139000005,167,1.7305389221556886,7,0.19482421875,0.91845703125,0.0185546875,0.08070175438596491,0.27111886357709586,8.460526251363275,0.09623830020427704,7.26495885848999,1.00537109375,1.0,0.5,1.0,1.0,0.40036219358444214,0.17849865555763245,0.33651435375213623,0.0,0.3674871325492859,-0.5323581099510193,1.5248010158538818,0,0.70751953125,1.0,1.212962962962963,4,0.52,0.6227544910179641,0.06481481481481481,0.00634765625,3,0.8,0.25
182,1217,23,0,0.5217391304347826,0.2857142857142857,0.2857142857142857,0.8888888888888888,0.2857142857142857,365.84378803000016,313.2827898200001,136,1.8823529411764706,7,0.20458984375,0.88671875,0.01904296875,0.12,0.446432262616908,4.427062756047509,0.013941101729869843,5.347370147705078,1.00634765625,1.0,1.0,0.6666666666666666,1.0,0.4452497065067291,0.21080437302589417,0.31576788425445557,0.0,0.36784517765045166,-0.5849133729934692,1.6113662719726562,0,0.74462890625,nan,1.3557692307692308,6,0.4782608695652174,0.5220588235294118,0.0673076923076923,0.00341796875,3,1.0,0.3333333333333333
183,1218,26,0,0.7692307692307693,0.6,0.6,1.0,0.6666666666666666,472.7439877600001,355.84978957000015,167,1.7964071856287425,8,0.18310546875,0.94091796875,0.02099609375,0.11690363349131122,0.803604228722407,11.755270126362937,0.09878116101026535,10.036182403564453,1.0029296875,1.0,1.0,1.0,1.0,0.4004458785057068,0.1703045517206192,0.31692731380462646,0.0,0.3681333363056183,-0.5582104921340942,1.5502021312713623,0,0.77880859375,1.0,1.278688524590164,4,0.5769230769230769,0.5748502994011976,0.06557377049180328,0.00439453125,3,1.0,0.6666666666666666
