player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
157.08,13.93,1.988,156.09,29.64,-0.99,15.71,0,1,0,0,0,0,0,0
156.16,12.6,2.27,157.75,21.16,1.6,8.56,0,1,0,0,0,0,1,0
154.21,11.98,2.548,158.98,12.74,4.77,0.76,0,1,0,0,0,0,0,0
155.13,9.41,2.642,159.55,7.95,4.42,-1.46,0,1,0,0,0,0,0,0
156.67,6.12,2.733,160.19,2.6,3.52,-3.52,0,1,0,0,0,0,0,0
158.63,2.83,2.799,160.75,-2.71,2.12,-5.54,0,1,0,0,0,0,0,0
158.32,3.14,2.86,161.18,-7.27,2.86,-10.41,1,1,0,0,0,0,0,0
158.52,3.65,2.916,161.46,3.21,2.94,-0.44,0,1,0,0,0,0,1,0
159.86,5.61,2.986,161.72,12.22,1.86,6.62,0,1,0,0,0,0,0,0
162.43,5.5,3.003,161.91,18.27,-0.52,12.77,0,1,0,0,0,0,1,0
162.74,6.63,2.954,162.17,22.38,-0.57,15.74,0,1,0,0,0,0,0,0
162.74,6.84,3.057,162.21,21.01,-0.53,14.17,0,1,0,0,0,0,1,0
161.4,7.87,3.166,162.11,17.01,0.71,9.14,0,1,0,0,0,0,0,0
161.2,7.15,3.341,161.85,11.27,0.66,4.12,0,0,0,0,0,0,1,0
160.68,5.3,3.534,161.66,5.01,0.97,-0.29,0,1,0,0,0,0,0,0
160.79,2.83,3.714,161.5,-0.9,0.72,-3.73,0,1,0,0,0,0,1,0
160.58,0.57,3.915,161.36,-6.85,0.78,-7.42,1,1,0,0,0,0,0,0
160.79,-0.36,3.801,161.32,-6.89,0.53,-6.53,1,1,0,0,0,0,1,0
161.2,-0.46,3.619,161.35,-5.92,0.15,-5.46,1,1,0,0,0,0,0,0
161.71,1.08,3.432,162.82,-3.71,1.11,-4.79,1,1,1,0,0,0,1,0
162.43,2.62,3.244,165.41,-0.1,2.98,-2.73,1,1,1,0,0,0,0,0
165.21,4.27,3.113,168.09,2.51,2.88,-1.76,1,1,1,0,0,0,1,0
167.78,6.02,2.976,171.48,5.34,3.71,-0.67,1,1,1,0,0,0,0,0
170.86,9.2,2.768,174.93,6.71,4.07,-2.5,1,1,1,0,0,0,1,0
176.72,11.26,2.964,175.89,12.93,-0.83,1.67,0,1,1,0,0,0,0,0
181.14,13.42,2.941,176.89,17.89,-4.25,4.47,0,1,1,0,0,0,1,1
184.64,14.04,3.117,176.76,17.66,-7.87,3.62,0,1,1,0,0,0,0,0
185.36,15.58,3.29,176.48,15.12,-8.87,-0.46,0,1,1,0,0,0,0,0
185.67,15.58,3.47,175.94,11.23,-9.73,-4.35,0,1,0,0,0,0,0,0
184.02,14.76,3.652,175.38,6.8,-8.64,-7.96,0,1,0,0,0,0,0,0
182.79,10.85,3.78,175.09,2.46,-7.69,-8.39,0,0,0,0,0,0,0,0
179.6,6.94,3.918,174.67,-2.06,-4.93,-9.0,0,1,0,0,0,0,0,0
177.85,3.34,4.023,174.43,-6.14,-3.42,-9.49,1,1,0,0,0,0,1,0
175.69,2.11,3.914,174.03,-5.22,-1.67,-7.33,1,1,0,0,0,0,0,0
174.56,1.9,3.733,173.71,-3.24,-0.85,-5.14,1,1,0,0,0,0,1,0
172.81,2.93,3.512,173.31,0.02,0.5,-2.91,1,1,0,0,0,0,0,0
170.76,3.76,3.3,171.45,4.97,0.69,1.21,1,1,0,0,1,0,1,0
167.06,5.3,3.119,168.62,11.69,1.56,6.39,1,1,0,0,1,0,0,0
162.43,8.79,3.011,165.63,16.89,3.2,8.1,1,1,0,0,1,0,1,0
159.65,10.64,2.851,161.76,21.58,2.1,10.94,1,1,0,0,1,0,0,0
157.39,15.06,2.673,157.69,25.66,0.3,10.6,1,1,0,0,1,0,1,0
