tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vz,my_hurt,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
161,490128.5,73.0,5151.177726444085,180.0,0.0,1,0.0,0.0,0,490127.46744917356,73.0,5110.082936417213,41.108,0.0013,0.2921,0,0,0,0,0,0,0,0
162,490128.5,73.0,5151.050326463063,180.0,0.0,1,0.0,-0.1274,0,490127.478299449,73.0,5110.367790944809,40.695,0.0109,0.2849,0,1,0,0,0,0,0,0
163,490128.5,73.0,5150.853366084324,180.0,0.0,1,0.0,-0.197,0,490127.4891497245,73.0,5110.652645472404,40.213,0.0109,0.2849,0,1,0,0,0,0,0,0
164,490128.5,73.0,5150.618425724019,180.0,0.0,1,0.0,-0.2349,0,490127.492766483,73.0,5110.935096981603,39.696,0.0036,0.2825,0,1,0,0,0,0,0,0
165,490128.5,73.0,5150.362748291372,180.0,0.0,1,0.0,-0.2557,0,490127.4963832415,73.0,5111.217548490802,39.158,0.0036,0.2825,0,1,0,0,0,0,0,0
166,490128.5,73.0,5150.095748415909,180.0,0.0,1,0.0,-0.267,0,490127.5080054943,73.0,5111.509615660535,38.599,0.0116,0.2921,0,1,0,0,0,0,0,0
167,490128.5,73.0,5149.822566485952,180.0,0.0,1,0.0,-0.2732,0,490127.5196277471,73.0,5111.801682830268,38.034,0.0116,0.2921,0,1,0,0,0,0,0,0
168,490128.5,73.0,5149.546009153848,180.103,-0.103,1,0.0,-0.2766,0,490127.5235018314,73.0,5112.086538553512,37.472,0.0039,0.2849,0,1,0,0,0,0,0,0
169,490128.500195429,73.0,5149.26760900097,179.383,1.953,1,0.0002,-0.2784,0,490127.52737591567,73.0,5112.371394276755,36.909,0.0039,0.2849,0,1,0,0,0,0,0,0
170,490128.49863203504,73.0,5148.988212115169,178.766,4.832,1,-0.0016,-0.2794,0,490127.52866727713,73.0,5112.653846184504,36.347,0.0013,0.2825,0,1,0,0,0,0,0,0
171,490128.40461755433,73.0,5148.745876820313,178.972,6.374,1,-0.094,-0.2423,0,490127.5299586386,73.0,5112.936298092252,35.82,0.0013,0.2825,0,1,1,0,0,0,0,0
